energy,length
0.50,  -1.05080140
0.69,  -1.12160784
0.89,  -1.11016396
1.08,  -1.07569501
1.28,  -1.03649831
1.47,  -0.99807651
1.66,  -0.96220686
1.86,  -0.92960456
2.05,  -0.90047350
2.24,  -0.87472347
2.44,  -0.85214196
2.63,  -0.83249182
2.83,  -0.81554251
3.02,  -0.80106841
3.21,  -0.78883777
3.41,  -0.77860523
3.60,  -0.77011352
3.80,  -0.76310260
3.99,  -0.75732174
4.18,  -0.75254033
4.38,  -0.74855542
4.57,  -0.74519536
4.77,  -0.74232025
4.96,  -0.73981983
5.15,  -0.73760972
5.35,  -0.73562696
5.54,  -0.73382542
5.73,  -0.73217163
5.93,  -0.73064132
6.12,  -0.72921667
6.32,  -0.72788431
6.51,  -0.72663388
6.70,  -0.72545711
6.90,  -0.72434716
7.09,  -0.72329823
7.29,  -0.72230528
7.48,  -0.72136388
7.67,  -0.72047007
7.87,  -0.71962034
8.06,  -0.71881148
8.26,  -0.71804062
8.45,  -0.71730514
8.64,  -0.71660265
8.84,  -0.71593099
9.03,  -0.71528817
9.22,  -0.71467237
9.42,  -0.71408193
9.61,  -0.71351530
9.81,  -0.71297107
10.00,  -0.71244795
